name,institution_type,avg_rad,no2,impervious_surface
277. Norfolk Southern,Fortune 500 HQ,185.28166,3.69190671388701e-5,35
"276. Huntsman LLC, Woodloch Forest Drive, The Woodlands, TX, USA",Fortune 500 HQ,84.55666,2.7443928039643473e-5,92
"275. Reliance Steel & Aluminum Co, South Grand Avenue, Los Angeles, CA, USA",Fortune 500 HQ,160.9825,1.1903557135087366e-4,66
"274. Xcel Energy, Nicollet Mall, Minneapolis, MN, USA",Fortune 500 HQ,278.10666,4.766322957067659e-5,91
273. Unum Group,Fortune 500 HQ,171.34334,2.6629142836246793e-5,85
"272. Group 1 Automotive, Gessner Road, Houston, TX, USA",Fortune 500 HQ,52.89417,3.9201244378385264e-5,74
271. BALL,Fortune 500 HQ,59.4425,4.160648244832889e-5,81
270. Farmers Insurance Exchange,Fortune 500 HQ,33.631668,3.325703199931959e-5,52
269. Sempra Energy,Fortune 500 HQ,125.04667,3.416204372177963e-5,93
268. Nvidia,Fortune 500 HQ,45.27833,4.416408532822157e-5,40
267. Tenneco,Fortune 500 HQ,15.165833,4.77512621625708e-5,42
"266. MGM Resorts International Career Center, Grier Drive, Las Vegas, NV, USA",Fortune 500 HQ,74.824165,4.7899856846536706e-5,88
265. Lithia Motors,Fortune 500 HQ,61.125835,2.448459111922232e-5,91
264. Steel Dynamics,Fortune 500 HQ,180.41833,3.985673886299814e-5,94
"263. FirstEnergy Corp., South Main Street, Akron, OH, USA",Fortune 500 HQ,105.825836,3.496787924516406e-5,96
262. LKQ,Fortune 500 HQ,258.18832,7.601491201048877e-5,96
261. J.C. Penney,Fortune 500 HQ,77.528336,3.684942580208026e-5,87
"260. CSX Corporation, Water Street, Jacksonville, FL, USA",Fortune 500 HQ,184.69583,4.881456158626854e-5,90
"259. Consolidated Edison Inc, East 16th Street, New York, NY, USA",Fortune 500 HQ,78.6575,1.1137873414493032e-4,100
"258. Bed Bath & Beyond, Broadway, New York, NY, USA",Fortune 500 HQ,157.10834,1.0035571628393234e-4,95
257. Murphy USA,Fortune 500 HQ,61.12417,1.649679917595742e-5,83
"256. ONEOK Field, North Elgin Avenue, Tulsa, OK, USA",Fortune 500 HQ,172.86833,3.92180980442378e-5,52
"255. Edison International, Walnut Grove Avenue, Rosemead, CA, USA",Fortune 500 HQ,64.0625,1.3405458911391522e-4,85
"254. Global Partners LP, South Street, Waltham, MA, USA",Fortune 500 HQ,6.79,4.068740087849906e-5,86
"253. Discover Financial Services, Lake Cook Road, Riverwoods, IL, USA",Fortune 500 HQ,30.807499,5.460133270721705e-5,94
252.VF,Fortune 500 HQ,113.3125,2.688560675791492e-5,94
"251. Reinsurance Group of America Inc., Swingley Ridge Road, Chesterfield, MO, USA",Fortune 500 HQ,45.115833,4.0821920028886816e-5,96
"250. Core-Mark Holding, South San Francisco, CA, USA",Fortune 500 HQ,74.8925,4.161738017532008e-5,89
"249. Ameriprise Financial -  Minneapolis, MN, USA",Fortune 500 HQ,265.12582,4.766322957067659e-5,100
"221. Viacom, Broadway, New York, NY, USA",Fortune 500 HQ,536.3417,1.0035571628393234e-4,99
"247. State Street Corporation, Boston, MA, USA",Fortune 500 HQ,197.2825,7.673807305835998e-5,100
"246. BB and T Corp Winston-Salem, NC, USA",Fortune 500 HQ,123.348335,2.97836224884941e-5,87
"245. BJ's Wholesale Club, Westborough, MA, USA",Fortune 500 HQ,16.433332,3.884486530140501e-5,83
"244. Guardian Life Ins. Co. of America, New York, NY, USA",Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"243. Newell Brands Hoboken, NJ, USA",Fortune 500 HQ,89.285835,1.1179366147879765e-4,96
"242. Henry Schein Inc, Melville, NY, USA",Fortune 500 HQ,38.665,5.9637985140385424e-5,96
"241. L Brands OH, USA",Fortune 500 HQ,31.444166,2.8635219148188152e-5,99
"240. Salesforce.com San Francisco, CA, USA",Fortune 500 HQ,110.76833,3.726038482694589e-5,100
"239. ADP Roseland, Adp Boulevard, Roseland, NJ, USA",Fortune 500 HQ,24.86,5.208580005598958e-5,100
"238. Dominion Energy Richmond, VA, USA",Fortune 500 HQ,173.55084,2.7033178018008222e-5,95
"237.  Anadarko,The Woodlands, Texas, USA",Fortune 500 HQ,100.183334,2.7443928039643473e-5,50
"236. Alcoa Corporation, Pittsburgh, PA, USA",Fortune 500 HQ,111.229164,3.774325011085493e-5,100
"235. Biogen, Cambridge, MA, USA",Fortune 500 HQ,86.4475,7.673807305835998e-5,100
"234. Kellogg, Battle Creek, MI, USA",Fortune 500 HQ,7.8225,2.919946610405929e-5,44
"233. Stryker, Kalamazoo, MI, USA",Fortune 500 HQ,31.3925,3.029671415498615e-5,92
"232. Dish Network Englewood, CO, USA",Fortune 500 HQ,43.0675,2.70097186385743e-5,80
"231. Estee Lauder New York, NY, USA",Fortune 500 HQ,179.645,1.0035571628393234e-4,94
