"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"VISA","San Francisco","California",NA,37.7749295,-122.4194155,NA,"39,538,223"
"Western Digital","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540,"39,538,223"
"Marriott International","Bethesda","Maryland","Montgomery",38.984652,-77.0947092,680160,"6,177,224"
"Broadcom","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540,"39,538,223"
"McDonald’s","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630,"12,812,508"
"Whirlpool","Benton Harbor","Michigan","Berrien",42.1167065,-86.4541894,255630,"10,077,331"
"LEAR",NA,"Michigan","Oakland",42.4733688,-83.2218731,388210,"10,077,331"
"CBRE Global Headquarters","Los Angeles","California","Los Angeles",34.0516422,-118.2535883,883230,"39,538,223"
"AutoNation","Fort Lauderdale","Florida","Broward",26.1224386,-80.1373174,479150,"21,538,187"
"Tesla HQ","Palo Alto","California","Santa Clara",37.3947057,-122.1503251,1558540,"39,538,223"
"AFLAC","Columbus","Georgia","Muscogee",32.4609764,-84.9877094,227150,"10,711,908"
"Southwest Airlines","Dallas","Texas","Dallas",32.7766642,-96.7969879,329370,"29,145,505"
"ManpowerGroup","Milwaukee","Wisconsin","Milwaukee",43.0389025,-87.9064736,270080,"5,893,718"
"JABIL","Saint Petersburg","Florida","Pinellas",27.7676008,-82.6402915,400470,"21,538,187"
"Gilead Sciences",NA,"California","San Mateo",37.5669611,-122.2816328,1601600,"39,538,223"
"Bristol-Myers Squibb","New York","New York","New York",40.7127753,-74.0059728,1172110,"20,201,249"
"Qualcomm","San Jose","California","Santa Clara",37.3654663,-121.9151577,1558540,"39,538,223"
"Penske Automotive Group",NA,"Michigan","Oakland",42.6026454,-83.2879437,388210,"10,077,331"
"DOLLAR TREE","Chesapeake","Virginia",NA,36.7682088,-76.2874927,NA,"8,631,393"
"UNION PACIFIC","Omaha","Nebraska","Douglas",41.2565369,-95.9345034,300310,"1,961,504"
"International Paper","Memphis","Tennessee","Shelby",35.1006964,-89.8497443,292520,"6,910,840"
"CENTURYLINK","Monroe","Louisiana","Ouachita Parish",32.5093109,-92.1193012,NA,"4,657,757"
