system:index,institution_type,name,no2,.geo
0000000000000000026c_0,Power Plant,Miles City GT,1.5399078587690042E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.79908258717664,46.43840861255866]}"
0000000000000000026d_0,Power Plant,Black Eagle,1.5140766862498362E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.26982266746452,47.507403800660896]}"
0000000000000000026e_0,Power Plant,Cochrane,1.4469076795824374E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.20694059757616,47.507403800660896]}"
0000000000000000026f_0,Power Plant,Hauser,1.1430346608579695E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.8986433663482,46.7528189620005]}"
00000000000000000270_0,Power Plant,Holter,1.2063491238288226E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.02440750612493,47.004347241553965]}"
00000000000000000271_0,Power Plant,Selis Ksanka Qlispe,9.396679976429934E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.22527995221776,47.69605001032599]}"
00000000000000000272_0,Power Plant,Morony,1.2183923663576024E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.08117645779943,47.57028587054926]}"
00000000000000000273_0,Power Plant,Mystic,7.279560212040782E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.76065299014374,45.2436492846797]}"
00000000000000000274_0,Power Plant,Rainbow (MT),1.4469076795824374E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.20694059757616,47.507403800660896]}"
00000000000000000275_0,Power Plant,Ryan,1.3295906405475413E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.14405852768779,47.57028587054926]}"
00000000000000000276_0,Power Plant,Thompson Falls,8.237907286199616E-6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.35715721020836,47.57028587054926]}"
00000000000000000277_0,Power Plant,Old Faithful,1.4315188796059423E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.82964817824596,44.42618237613094]}"
00000000000000000278_0,Power Plant,Noxon Rapids,1.0878278812640105E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.73444962953855,47.94757828987946]}"
00000000000000000279_0,Power Plant,Hungry Horse,1.0572295813845717E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.03663374255265,48.324870709209655]}"
0000000000000000027a_0,Power Plant,Yellowtail,1.0147568195990024E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.9370729633811,45.306531354568065]}"
0000000000000000027b_0,Power Plant,Ansley,2.055008928234721E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.38511145856326,41.28207888171261]}"
0000000000000000027c_0,Power Plant,Auburn,2.4928731478597182E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.86371554481474,40.40172990327548]}"
0000000000000000027d_0,Power Plant,Beaver City,2.1528463625481134E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.82528594778182,40.15020162372201]}"
0000000000000000027e_0,Power Plant,Broken Bow,1.86761070591222E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.63663973811673,41.40784302148934]}"
0000000000000000027f_0,Power Plant,Burwell,2.1563984492448467E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.13358317900979,41.785135440819545]}"
00000000000000000280_0,Power Plant,Cambridge,2.2749212298080657E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-100.20257836711203,40.275965763498746]}"
00000000000000000281_0,Power Plant,Campbell Village,2.6187835912881552E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.7562907596796,40.275965763498746]}"
00000000000000000282_0,Power Plant,Canaday,2.2767566668478215E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-99.69952180800509,40.71614025271731]}"
