system:index,avg_rad,institution_type,name,.geo
00000000000000000079_0,55.845,Fortune 500 HQ,328. Hormel Foods,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97338611816018,43.664860172839646]}"
0000000000000000007a_0,36.680832,Fortune 500 HQ,327. Altice USA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.13409306838055,40.790251263657176]}"
0000000000000000007b_0,35.775,Fortune 500 HQ,"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.82579583715258,41.07771215457542]}"
0000000000000000007c_0,62.2825,Fortune 500 HQ,"449. Ulta Beauty, Bolingbrook, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.0685846668676,41.69754970061789]}"
0000000000000000007d_0,145.16916,Fortune 500 HQ,326. Advance Auto Parts,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.63627418361261,35.77765197827024]}"
0000000000000000007e_0,1564.0684,Fortune 500 HQ,"448. Wynn Resorts,  Las Vegas, NV, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.16626521233296,36.127994939076856]}"
0000000000000000007f_0,193.50417,Fortune 500 HQ,"447. Regions Financial, Birmingham, AL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.81094326910026,33.51838903870965]}"
00000000000000000080_0,64.89833,Fortune 500 HQ,325. Mosaic,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.45398479516412,45.012333099018925]}"
00000000000000000081_0,122.9975,Fortune 500 HQ,"446. Wayfair, Boston, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.07695106774685,42.34882828160455]}"
00000000000000000082_0,258.18832,Fortune 500 HQ,"445. RR Donnelley and Sons, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.62841017764903,41.8772127574418]}"
00000000000000000083_0,158.49083,Fortune 500 HQ,324. PVH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00545889397648,40.713894464507014]}"
00000000000000000084_0,61.828335,Fortune 500 HQ,"444. Hanesbrands, Winston-Salem, NC, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.28468272997193,36.09206232771208]}"
00000000000000000085_0,227.23834,Fortune 500 HQ,"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.167155645118,40.736352346610005]}"
00000000000000000086_0,0.88666666,Fortune 500 HQ,"443. AK Steel Holding, West Chester, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.34469476523297,40.233295787503074]}"
00000000000000000087_0,180.29916,Fortune 500 HQ,"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9695262826117,40.75881022871299]}"
00000000000000000088_0,248.32083,Fortune 500 HQ,"442, Blackstone Group LP New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9740178590323,40.75881022871299]}"
00000000000000000089_0,33.4975,Fortune 500 HQ,"441. Markel Corporation, Glen Allen, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.57626214835157,37.65962249850064]}"
0000000000000000008a_0,40.19,Fortune 500 HQ,"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.27607262608994,42.69467966599056]}"
0000000000000000008b_0,79.705,Fortune 500 HQ,"440. CMS Energy, Jackson, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.40345830765995,42.245522023930796]}"
0000000000000000008c_0,37.815834,Fortune 500 HQ,"439. Asbury Automotive Group, Premiere Duluth, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.09353953463871,34.00347929213419]}"
0000000000000000008d_0,224.365,Fortune 500 HQ,"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.98835304325878,39.74371395765793]}"
